,total_bitcoins
2049-09-05,20935636.54068275
2049-09-12,20935685.669597022
2049-09-19,20935734.798511293
2049-09-26,20935783.927425563
2049-10-03,20935833.056339834
2049-10-10,20935882.185254104
2049-10-17,20935931.314168375
2049-10-24,20935980.44308265
2049-10-31,20936029.57199692
2049-11-07,20936078.70091119
2049-11-14,20936127.82982546
2049-11-21,20936176.95873973
2049-11-28,20936226.087654002
2049-12-05,20936275.216568273
2049-12-12,20936324.345482547
2049-12-19,20936373.474396817
2049-12-26,20936422.603311088
2050-01-02,20936471.73222536
2050-01-09,20936520.86113963
2050-01-16,20936569.9900539
2050-01-23,20936619.11896817
2050-01-30,20936668.247882444
2050-02-06,20936717.376796715
2050-02-13,20936766.505710986
2050-02-20,20936815.634625256
2050-02-27,20936864.763539527
2050-03-06,20936913.892453797
2050-03-13,20936963.021368068
2050-03-20,20937012.150282342
2050-03-27,20937061.279196613
2050-04-03,20937110.408110883
2050-04-10,20937159.537025154
2050-04-17,20937208.665939424
2050-04-24,20937257.794853695
2050-05-01,20937306.923767965
2050-05-08,20937356.05268224
2050-05-15,20937405.18159651
2050-05-22,20937454.31051078
2050-05-29,20937503.43942505
2050-06-05,20937552.56833932
2050-06-12,20937601.697253592
2050-06-19,20937650.826167863
2050-06-26,20937699.955082137
2050-07-03,20937749.083996408
2050-07-10,20937798.21291068
2050-07-17,20937847.34182495
2050-07-24,20937896.47073922
2050-07-31,20937945.59965349
2050-08-07,20937994.72856776
2050-08-14,20938043.857482035
2050-08-21,20938092.986396305
2050-08-28,20938142.115310576
2050-09-04,20938191.244224846
2050-09-11,20938240.373139117
2050-09-18,20938289.502053387
2050-09-25,20938338.630967658
2050-10-02,20938387.759881932
2050-10-09,20938436.888796203
2050-10-16,20938486.017710473
2050-10-23,20938535.146624744
2050-10-30,20938584.275539014
2050-11-06,20938633.404453285
2050-11-13,20938682.533367556
2050-11-20,20938731.66228183
2050-11-27,20938780.7911961
2050-12-04,20938829.92011037
