Date,total_bitcoins
2024-06-16,19711077.84431138
2024-06-23,19714134.231536925
2024-06-30,19717190.618762475
2024-07-07,19720247.005988024
2024-07-14,19723303.393213574
2024-07-21,19726359.78043912
2024-07-28,19729416.167664673
2024-08-04,19732472.55489022
2024-08-11,19735528.942115765
2024-08-18,19738585.32934132
2024-08-25,19741641.716566864
2024-09-01,19744698.103792418
2024-09-08,19747754.491017964
2024-09-15,19750810.878243513
2024-09-22,19753867.265469063
2024-09-29,19756923.65269461
2024-10-06,19759980.03992016
2024-10-13,19763036.42714571
2024-10-20,19766092.814371258
2024-10-27,19769149.201596804
2024-11-03,19772205.588822357
2024-11-10,19775261.976047903
2024-11-17,19778318.363273453
2024-11-24,19781374.750499003
2024-12-01,19784431.137724552
2024-12-08,19787487.5249501
2024-12-15,19790543.912175648
2024-12-22,19793600.299401198
2024-12-29,19796656.686626744
2025-01-05,19799713.073852297
2025-01-12,19802769.461077843
2025-01-19,19805825.848303396
2025-01-26,19808882.235528942
2025-02-02,19811938.622754492
2025-02-09,19814995.00998004
2025-02-16,19818051.39720559
2025-02-23,19821107.784431137
2025-03-02,19824164.171656687
2025-03-09,19827220.558882236
2025-03-16,19830276.946107782
2025-03-23,19833333.333333336
2025-03-30,19836389.72055888
2025-04-06,19839446.10778443
2025-04-13,19842502.49500998
2025-04-20,19845558.882235527
2025-04-27,19848615.269461077
2025-05-04,19851671.656686626
2025-05-11,19854728.043912176
2025-05-18,19857784.431137722
2025-05-25,19860840.818363275
2025-06-01,19863897.20558882
2025-06-08,19866953.592814367
2025-06-15,19870009.98003992
2025-06-22,19873066.367265467
2025-06-29,19876122.75449102
2025-07-06,19879179.141716566
2025-07-13,19882235.528942116
2025-07-20,19885291.916167665
2025-07-27,19888348.303393215
2025-08-03,19891404.69061876
2025-08-10,19894461.077844314
2025-08-17,19897517.46506986
2025-08-24,19900573.852295406
2025-08-31,19903630.23952096
2025-09-07,19906686.626746505
2025-09-14,19909743.013972055
2025-09-21,19912799.401197605
2025-09-28,19915855.788423155
2025-10-05,19918912.1756487
2025-10-12,19921968.562874254
2025-10-19,19925024.9500998
2025-10-26,19928081.337325353
2025-11-02,19931137.7245509
2025-11-09,19934194.111776445
2025-11-16,19937250.499002
2025-11-23,19940306.886227544
2025-11-30,19943363.273453094
2025-12-07,19946419.660678644
2025-12-14,19949476.047904193
2025-12-21,19952532.43512974
2025-12-28,19955588.82235529
2026-01-04,19958645.20958084
2026-01-11,19961701.59680639
2026-01-18,19964757.984031938
2026-01-25,19967814.371257484
2026-02-01,19970870.758483034
2026-02-08,19973927.145708583
2026-02-15,19976983.53293413
2026-02-22,19980039.92015968
2026-03-01,19983096.30738523
2026-03-08,19986152.69461078
2026-03-15,19989209.081836324
2026-03-22,19992265.469061878
2026-03-29,19995321.856287424
2026-04-05,19998378.243512977
2026-04-12,20001434.630738523
2026-04-19,20004491.017964073
2026-04-26,20007547.405189622
2026-05-03,20010603.792415168
2026-05-10,20013660.179640718
2026-05-17,20016716.566866267
2026-05-24,20019772.954091817
2026-05-31,20022829.341317363
2026-06-07,20025885.728542916
2026-06-14,20028942.115768462
2026-06-21,20031998.502994012
2026-06-28,20035054.89021956
2026-07-05,20038111.27744511
2026-07-12,20041167.664670657
2026-07-19,20044224.051896207
2026-07-26,20047280.439121757
2026-08-02,20050336.826347303
2026-08-09,20053393.213572856
2026-08-16,20056449.600798402
2026-08-23,20059505.988023955
2026-08-30,20062562.3752495
2026-09-06,20065618.762475047
2026-09-13,20068675.1497006
2026-09-20,20071731.536926147
2026-09-27,20074787.924151696
2026-10-04,20077844.311377246
2026-10-11,20080900.698602796
2026-10-18,20083957.08582834
2026-10-25,20087013.47305389
2026-11-01,20090069.86027944
2026-11-08,20093126.24750499
2026-11-15,20096182.63473054
2026-11-22,20099239.021956086
2026-11-29,20102295.409181636
2026-12-06,20105351.796407185
2026-12-13,20108408.183632735
2026-12-20,20111464.57085828
2026-12-27,20114520.958083834
2027-01-03,20117577.34530938
2027-01-10,20120633.732534926
2027-01-17,20123690.11976048
2027-01-24,20126746.506986026
2027-01-31,20129802.89421158
2027-02-07,20132859.281437125
2027-02-14,20135915.668662675
2027-02-21,20138972.055888224
2027-02-28,20142028.443113774
2027-03-07,20145084.83033932
2027-03-14,20148141.217564873
2027-03-21,20151197.60479042
2027-03-28,20154253.992015965
2027-04-04,20157310.37924152
2027-04-11,20160366.766467065
2027-04-18,20163423.153692614
2027-04-25,20166479.540918164
2027-05-02,20169535.928143714
2027-05-09,20172592.31536926
2027-05-16,20175648.702594813
2027-05-23,20178705.08982036
2027-05-30,20181761.477045912
2027-06-06,20184817.86427146
2027-06-13,20187874.251497004
2027-06-20,20190930.638722558
2027-06-27,20193987.025948104
2027-07-04,20197043.413173653
2027-07-11,20200099.800399203
2027-07-18,20203156.187624753
2027-07-25,20206212.5748503
2027-08-01,20209268.962075848
2027-08-08,20212325.349301398
2027-08-15,20215381.736526944
2027-08-22,20218438.123752497
2027-08-29,20221494.510978043
2027-09-05,20224550.898203593
2027-09-12,20227607.285429142
2027-09-19,20230663.67265469
2027-09-26,20233720.059880238
2027-10-03,20236776.447105788
2027-10-10,20239832.834331337
2027-10-17,20242889.221556883
2027-10-24,20245945.608782437
2027-10-31,20249001.996007983
2027-11-07,20252058.383233536
